Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,09:22:00,09:15:00,,10:50:00,WN,1069,N630WN,,95.0,,,7.0,SAN,SMF,480,,12.0,0,,1,,,,,
2008,1,3,4,23:25:00,19:00:00,,20:30:00,WN,2092,N302SW,,90.0,,,265.0,SFO,SAN,447,,11.0,0,,1,,,,,
2008,1,4,5,19:49:00,19:05:00,,19:10:00,WN,1403,N504SW,,65.0,,,44.0,BOI,RNO,335,,11.0,0,,1,,,,,
2008,1,4,5,07:37:00,07:05:00,,08:25:00,WN,178,N718SW,,80.0,,,32.0,BUR,SMF,358,,13.0,0,,1,,,,,
2008,1,4,5,09:31:00,09:30:00,,11:45:00,WN,2011,N726SW,,255.0,,,1.0,HOU,OAK,1642,,10.0,0,,1,,,,,
2008,1,4,5,18:49:00,16:30:00,,17:55:00,WN,239,N636WN,,85.0,,,139.0,LAS,RNO,345,,12.0,0,,1,,,,,
2008,1,4,5,19:05:00,18:55:00,,20:15:00,WN,298,N728SW,,80.0,,,10.0,LAS,RNO,345,,12.0,0,,1,,,,,
2008,1,4,5,06:37:00,06:40:00,,08:05:00,WN,624,N352SW,,85.0,,,-3.0,LAS,SMF,397,,12.0,0,,1,,,,,
2008,1,4,5,17:21:00,16:05:00,,16:55:00,WN,985,N613SW,,50.0,,,76.0,OAK,RNO,180,,9.0,0,,1,,,,,
2008,1,4,5,07:20:00,07:15:00,,08:35:00,WN,350,N356SW,,80.0,,,5.0,ONT,SMF,389,,14.0,0,,1,,,,,
2008,1,4,5,18:37:00,14:20:00,,15:40:00,WN,3513,N348SW,,80.0,,,257.0,PDX,RNO,444,,6.0,0,,1,,,,,
2008,1,4,5,06:48:00,06:50:00,,08:15:00,WN,157,N423WN,,85.0,,,-2.0,PDX,SMF,479,,14.0,0,,1,,,,,
2008,1,4,5,07:05:00,07:05:00,,08:10:00,WN,162,N208WN,,125.0,,,0.0,PHX,SMF,647,,13.0,0,,1,,,,,
2008,1,4,5,18:32:00,17:55:00,,19:35:00,WN,1511,N259WN,,100.0,,,37.0,SAN,RNO,488,,8.0,0,,1,,,,,
2008,1,4,5,08:00:00,08:00:00,,09:35:00,WN,66,N654SW,,95.0,,,0.0,SAN,SMF,480,,11.0,0,,1,,,,,
2008,1,4,5,06:32:00,06:30:00,,08:10:00,WN,1859,N692SW,,100.0,,,2.0,SAN,SMF,480,,14.0,0,,1,,,,,
2008,1,4,5,22:26:00,20:40:00,,21:50:00,WN,2285,N368SW,,70.0,,,106.0,SJC,LAX,308,,17.0,0,,1,,,,,
2008,1,4,5,11:14:00,10:55:00,,11:55:00,WN,2527,N368SW,,120.0,,,19.0,SLC,OAK,588,,15.0,0,,1,,,,,
2008,1,5,6,20:13:00,16:55:00,,00:25:00,WN,156,N423WN,,270.0,,,198.0,LAS,ORF,2155,,9.0,0,,1,,,,,
2008,1,5,6,16:55:00,13:50:00,,15:10:00,WN,185,N312SW,,80.0,,,185.0,LAS,RNO,345,,13.0,0,,1,,,,,
2008,1,5,6,16:17:00,14:00:00,,15:20:00,WN,2360,N349SW,,80.0,,,137.0,LAX,RNO,390,,12.0,0,,1,,,,,
2008,1,5,6,14:51:00,14:35:00,,16:50:00,WN,1276,N467WN,,255.0,,,16.0,MDW,RNO,1680,,10.0,0,,1,,,,,
2008,1,5,6,16:29:00,14:20:00,,15:40:00,WN,3513,N240WN,,80.0,,,129.0,PDX,RNO,444,,5.0,0,,1,,,,,
2008,1,5,6,14:53:00,14:30:00,,15:20:00,WN,736,N628SW,,110.0,,,23.0,PHX,RNO,601,,6.0,0,,1,,,,,
2008,1,5,6,15:39:00,14:55:00,,15:10:00,WN,1179,N348SW,,75.0,,,44.0,TUS,SAN,367,,7.0,0,,1,,,,,
2008,1,6,7,08:48:00,08:40:00,,11:40:00,WN,3141,N250WN,,300.0,,,8.0,BWI,SLC,1864,,12.0,0,,1,,,,,
2008,1,6,7,09:32:00,09:25:00,,11:55:00,WN,151,N460WN,,210.0,,,7.0,MDW,SLC,1258,,6.0,0,,1,,,,,
2008,1,6,7,20:57:00,19:00:00,,20:15:00,WN,3939,N658SW,,75.0,,,117.0,OAK,LAX,337,,17.0,0,,1,,,,,
2008,1,7,1,16:35:00,16:40:00,,18:05:00,WN,2804,N420WN,,85.0,,,-5.0,BNA,MDW,395,,6.0,0,,1,,,,,
2008,1,7,1,17:54:00,17:50:00,,18:40:00,WN,1009,N729SW,,110.0,,,4.0,BUF,MDW,468,,12.0,0,,1,,,,,
2008,1,7,1,12:18:00,12:15:00,,13:20:00,WN,1660,N640SW,,65.0,,,3.0,BUR,LAS,223,,11.0,0,,1,,,,,
2008,1,7,1,08:41:00,08:25:00,,10:45:00,WN,1241,N699SW,,80.0,,,16.0,BUR,PHX,369,,21.0,0,,1,,,,,
2008,1,7,1,08:03:00,07:00:00,,09:25:00,WN,2787,N301SW,,85.0,,,63.0,BUR,PHX,369,,10.0,0,,1,,,,,
2008,1,7,1,16:44:00,16:45:00,,19:00:00,WN,727,N383SW,,195.0,,,-1.0,FLL,MDW,1166,,10.0,0,,1,,,,,
2008,1,7,1,17:15:00,17:20:00,,18:20:00,WN,1394,N782SA,,120.0,,,-5.0,IAD,MDW,577,,13.0,0,,1,,,,,
2008,1,7,1,16:53:00,16:50:00,,18:15:00,WN,422,N201LV,,145.0,,,3.0,ISP,MDW,765,,7.0,0,,1,,,,,
2008,1,7,1,12:45:00,12:40:00,,18:35:00,WN,245,N262WN,,235.0,,,5.0,LAX,MDW,1750,,6.0,0,,1,,,,,
2008,1,7,1,18:31:00,18:05:00,,19:25:00,WN,154,N747SA,,80.0,,,26.0,MCI,MDW,405,,11.0,0,,1,,,,,
2008,1,7,1,12:14:00,12:10:00,,18:15:00,WN,1136,N493WN,,245.0,,,4.0,OAK,MDW,1844,,16.0,0,,1,,,,,
2008,1,7,1,16:47:00,16:50:00,,18:05:00,WN,2729,N422WN,,135.0,,,-3.0,ORF,MDW,704,,9.0,0,,1,,,,,
2008,1,7,1,14:26:00,13:50:00,,18:10:00,WN,2703,N775SW,,200.0,,,36.0,PHX,MDW,1444,,11.0,0,,1,,,,,
2008,1,7,1,18:13:00,17:55:00,,18:30:00,WN,490,N651SW,,95.0,,,18.0,PIT,MDW,402,,9.0,0,,1,,,,,
2008,1,7,1,17:06:00,16:15:00,,17:20:00,WN,166,N260WN,,125.0,,,51.0,RDU,MDW,632,,6.0,0,,1,,,,,
2008,1,7,1,12:55:00,12:50:00,,18:45:00,WN,3510,N289CT,,235.0,,,5.0,SAN,MDW,1728,,9.0,0,,1,,,,,
2008,1,7,1,16:46:00,16:50:00,,17:50:00,WN,30,N672SW,,60.0,,,-4.0,STL,MDW,251,,14.0,0,,1,,,,,
2008,1,7,1,07:17:00,07:20:00,,10:05:00,WN,212,N272WN,,165.0,,,-3.0,TPA,PVD,1137,,15.0,0,,1,,,,,
2008,1,8,2,11:54:00,11:55:00,,15:55:00,WN,1079,N750SA,,120.0,,,-1.0,LAS,AMA,758,,26.0,0,,1,,,,,
2008,1,9,3,14:10:00,13:50:00,,16:15:00,WN,813,N258WN,,145.0,,,20.0,BNA,AUS,756,,8.0,0,,1,,,,,
2008,1,10,4,15:12:00,14:30:00,,15:30:00,WN,33,N527SW,,60.0,,,42.0,DAL,HOU,239,,22.0,0,,1,,,,,
2008,1,10,4,19:13:00,12:05:00,,12:45:00,WN,1679,N480WN,,100.0,,,428.0,DTW,STL,440,,15.0,0,,1,,,,,
2008,1,10,4,18:49:00,18:35:00,,23:45:00,WN,2208,N410WN,,190.0,,,14.0,LAX,MCI,1363,,5.0,0,,1,,,,,
2008,1,10,4,10:07:00,10:10:00,,12:30:00,WN,4,N217JC,,80.0,,,-3.0,MCI,IND,451,,6.0,0,,1,,,,,
2008,1,11,5,16:49:00,16:30:00,,17:45:00,WN,734,N663SW,,75.0,,,19.0,BUR,SMF,358,,11.0,0,,1,,,,,
2008,1,11,5,08:45:00,08:45:00,,11:10:00,WN,1919,N258WN,,145.0,,,0.0,MCO,ISP,972,,7.0,0,,1,,,,,
2008,1,12,6,18:06:00,18:15:00,,19:05:00,WN,574,N673AA,,110.0,,,-9.0,ABQ,SAN,628,,12.0,0,,1,,,,,
2008,1,12,6,18:43:00,18:45:00,,21:10:00,WN,375,N483WN,,265.0,,,-2.0,MDW,SAN,1728,,7.0,0,,1,,,,,
2008,1,12,6,20:11:00,19:40:00,,19:45:00,WN,359,N682SW,,65.0,,,31.0,PHX,SAN,304,,15.0,0,,1,,,,,
2008,1,12,6,21:10:00,18:40:00,,18:45:00,WN,3839,N470WN,,65.0,,,150.0,PHX,SAN,304,,6.0,0,,1,,,,,
2008,1,12,6,19:32:00,19:25:00,,20:45:00,WN,532,N714CB,,80.0,,,7.0,SJC,SAN,417,,9.0,0,,1,,,,,
